Name of NGO,Cause,Address
Rural And Urban Development Asscoisation,Rural Development & Poverty Alleviation,"NO.21/38 MANJUNATHA NAGAR 2ND CROSS, OORGAUMPET POST, KOLAR GOLD FIELDS 563121"
Rural Development And Training Society,Women's Development & Empowerment,"S.S.Reddy,Project director, Rural Development and Training Society,Prashanth nagar,kalludi post, Gauribidanur-561208."
Rural Development InstituteBengaluru,Rural Development & Poverty Alleviation,"1820, 6th Cross, Judicial Layout, GKVK Post"
Rural Development Organisation Belgaum,Rural Development & Poverty Alleviation,"S.V. Walil building, 1st floor h. no. 205,sector no. l1 mahantesh nagar belgaum-590016"
Rv Spandana Foundation,Health & Family Welfare,"No. 3118, Shrusti, 9th Main, M.C.C. B Block,"
Rv Spandana Foundation,Health & Family Welfare,"No.3118, Shrusti, 9th Main Road, M.C.C. B Block,"
Saakshi Rural Development Society,Vocational Training,SAAKSHI RURAL DEVELOPMENT SOCIETY ASAGODU VILLAGE AND POST JAGALUR TALUK 577513
Sabaeducationtrust,Vocational Training,H.No.4-2-78/92 noorkhan taleem bidar-585401
Safaikaramchari Rehabilitation Andolanand Urdo,Health & Family Welfare,N6331st main Nethra nilaya Giri nagar Kyathsandr post tumkur 572104
Sahaaya Trust,Children,M Raghavendra Sahaaya trust Malagalu 1st cross Kanakapura Taluk Ramanagara District 562117
Sahabhagini Federation Of Womens Collectives,Children,"Reg.Office: Sahabhagini, BIRDS Campus,Tukkanatti-591224,Gokak Tq,Belgaum Dt."
Sahachetana Naatyalaya,Children,"Sri Lakshmi Narasimha Krupa, Beside Sharma Video, Old Bar Line Road, Shimoga-577202"
Sahara Grameena Abhivruddhi Society Katkol,Rural Development & Poverty Alleviation,"SAHARA RURAL DEVELOPMENT SOCIETY KATKOL, AP KATKOL, TQ RAMDURG, DIST BELGAUM"
Sahaya,Health & Family Welfare,"66,1ST MAIN 4TH CROSS 1ST PHASE 2ND STAGE CHANDRALAYOUT VIJAYANAGER"
Saint Gregorios Dayabhavan,Children,"Saint Gregorios Dayabhavan, Vanigere Village, Bhaktharahalli P.O, Kunigal Taluk, Tumkur District, Karnataka State, PIN 572120"
Sai Ram Mahila Samaja,Dalit Upliftment,"2441,4th cross,Pension Mohalla"
Samagra Mahila Mattu Grameena Abhivrudhi Samste,Children,"Plot. No: 236, ""Radhambika Nilaya"", NGOs Colony, Jewargi Road, Gulbarga-585102"
Sama Jeevana Physically Handicapped Development Society,Children,"SAMA JEEVANA PHYSICALLY HANDICAPPED DEVELOPMENT SOCIETY (SC Management), at post: Honnaddi, Tq. & dist: Bidar."
Samarpana,Rural Development & Poverty Alleviation,"No 56, 8th Ward, Chikkapete , Soraba , Shimoga"
Samarth Gramodyog Sangha,Micro Small & Medium Enterprises,"SAMARTH GRAMODYOG SANGHA, Reg.Off: Vipra, Gangavati-583227 Dist Koppal Karnataka, Adm Off: Opp.PLD Bank, Anegundi Road, GANGAVATI-583227, Dist. Koppal"
Samarthnam Trust For The Disabled,Children,"CA:39, 15th Cross, 16th Main, Sector - 4, HSR Layout,Bengaluru - 560102 Karnataka, India"
Sambhav Foundation Blr,Vocational Training,"No 25/1-4, 19th A main Road, 9th cross, JP Nagar, 2nd Phase,Bengaluru -560078"
Samilana Arts Social Educational Scociety R Yelajitha,Rural Development & Poverty Alleviation,SAMILANA ARTS SOCIAL EDUCATIONAL SCOCIETY (R) YELAJITHA YEAJITHA POST KUNDAPURA TQ- 576214
Samraksha,Health & Family Welfare,"Samraksha, No. 11, SREENIVASAM, 6TH Main, A Cross-, , Bull Temple Road,Bengaluru â€“ 560 018"
Samraksha,Children,SAMRAKSHA NO 17 3RD MAIN 1ST CROSS SBM COLONY ANAND NAGARBengaluru 560024
Samruddhi,Health & Family Welfare,"Samruddhi, Reg Office: 8-11-180/288, Baggur Basaveshwara Nilaya, NGO Colony, , Near Jambalamma Temple, Raichur-584 103"
Samruddhi Service Society,Women's Development & Empowerment,"SAMRUDDHI SERVICE SOCIETY(R), CTS NO 4859,B/36, 2ND MAIN 7TH CROSS , SADASHIVANAGAR , BELGAVI 590019"
Samskrita Bharati Karnataka Trust,Children,"Aksharam, 8th Cross, 2nd Phase, Girinagar"
Samuha Foundation,Children,"No 158/A, 9th Cross, 3rd Block, Thyagarajanagar,Bengaluru-560028"
Sangeetha Welfare Association,Children,"Sangeetha Welfare Association, 1st Main, 7th Cross, Vijayanagar Extn, Harihar - 577601, Davanagere [Dist]"
Sanjeevini Swayam Seva Samsthe,Women's Development & Empowerment,"SECTORE NO-50,PLOT NO-2D, NAVANAGAR,BAGALKOT,KARNATAKA"
Sankalp India Foundation,Health & Family Welfare,"304, Floor 3, Chamundi Emerald, Opp Balmuri Ganesha Temple, 7th Cross, 1st Main, NS Palya, BTM Stage II,"
Sankeshwar Integrated Development Society Sankeshwar,Rural Development & Poverty Alleviation,"The Chairman, Sankeshwar Integrated Development Society, SDVS Sangh,s Campous, Sankeshwar-591313"
Sanskritik Seva Sangha Bagalkot,Children,"SANSKRITIK SEVA SANGHA , VENKATPETH , BAGALKOT PIN 587101"
Sapthagiri Urban And Rural Development Socity,Micro Finance (SHGs),S S Patil SAPTHAGIRI URBAN AND RURAL DEVELOPMENT SOCIETY Basavanagar Ward No 5 Near Court Hungund Town District Bagalokot 587118
Saraswati Mahila Kaigarika Mattu Kaimagga Ngo,Children,"Saraswati Mahila Kaigarika Mattu Kaimagga Tarabeti Vividoddeshagala Sangha, K H D C Nekar Nagar H No 96. Betageri Gadag 582102"
Saraswati Mahila Mandal,Vocational Training,"No. 4-8-62, Vijayamahenteshwar Nagar, , Near Ambedkar Circle, Ganj, Bhalki, Bidar - 585328"
Sardar Vallabhai Patel Society,Health & Family Welfare,"SARDAR VALLABHAI PATEL SOCIETY, no 6B Kote NCMR building Karthik nagarBengaluru 560037"
Sarsvati Sarvodaya Educational And Rural Development Society,Children,"Sarsvati Sarvodaya Educational and Rural Development Society, Plot No. 42, H.No. 19-1-21/1, Airforce Road, New Adarsh Colony, Bidar - 585 401."
Sarthaka Cultural Education And Charitable Trust,Health & Family Welfare,"No: 313, Andrahalli Main Road, Maruthi nagar, Hegganahalli West, Vishwaneedam Post,Bengaluru-560 091,"
Sarvasumana Association,Health & Family Welfare,"1188/20, 3rd Floor, 26th Main, 9th Block, Jayanagar"
Sarvasumana Association,Health & Family Welfare,"1188/20, 3rd Floor, 26th Main, 9th Block, Jayanagar"
Sarvodaya Integrated Rural Development Society,Children,"Sarvodaya Integrated Rural Development Society, Opp Teachers Coloney, Kinnal Road, Koppal â€“ 583231, Karnataka"
Sarvodaya Organisation For Social Work,Women's Development & Empowerment,"Regd. Office: Kargaddhe, Kalasa Post, Chikmagalur 577 124, Administrative office: Kadrimidri, Malalur post, Chikmagalur 577 133"
Sarvodhaya Community Development Center,Rural Development & Poverty Alleviation,"NK MAIN ROAD, NARAYANAPURA, KOLLIGANAHALLI POST, HAROHALLI HOBALLI, KANAKAPURA TALUK, RAMANAGARA DISTICT-562112"
Sarvojana Seva Trust,Women's Development & Empowerment,"1253,9th,cross,R.K.Hegdenagar,SRKnagar post,Bengaluru-77"
Sathi Organisation,Children,"SATHI, NO. 36, RATNA FOREVER BUILDING, 4TH FLOOR, 1ST FLOOR, MODEL COLONY, ABOVE NEW BESCOM OFFICE, YESHWANTHPUR,Bengaluru 560022"
Satyakaama Pratishthana Sahitika Mattu Samskrutika Sangha,Drinking Water,"Summane, At Post Kallahalli - 587 119, Jamakhandi Taluk, Bagalkot District, Karnataka"
Scord Trust,Health & Family Welfare,"No 5, 3rd Floor, 4th Main, 9th Cross, Malleshwaram 560003"
Sc St Studies And Development Trust,Women's Development & Empowerment,"""Seva Kendra"", Urva Gandhinagara, Post Ashokanagar"
Sc St Studies And Development Trust,Women's Development & Empowerment,"Seva Kendra, Urva Gandhinagara, Ashoknagar Post"
S Dhruthi Urban And Rural Development Service Trust,Children,"B R Manjula, No.4, KB Pillappa Complex, M.G.Road, Chikkaballapur-562101."
Seed Trust,Health & Family Welfare,"Opp. R.M.C. Post Office, G.B.N. Road, MADHUGIRI - 572 132., Tumkur District., Karnataka State"
Self Employment Training Center And Rural Development Society Gadag,Children,"Self Employment Training Center and rural development Society IIIrd cross Hudco Colony Siddalinga nagar Gadag 582103, Karnataka"
Serve,Women's Development & Empowerment,"DOMMATHAMARI POST, PAVAGADA TALUK, TUMKUR DIST, KARNATAKA-561202"
Shakthidhama,Children,"women Rehabilitation and development center, 18/1B, - Ooty Road, Near JSS College,Mysore-570025"
Shakthi Tumkur,Vocational Training,"NO 1403 NARAYANA KRUPA, K R EXTN., TUMKUR - 572 102"
Shanteshwar Education And Welfare Society,Women's Development & Empowerment,shrishail nivas vivekand nagar opp. sarojini modi hospital port road gulbarga 585103
Shanthala Shiksha Hagu Gramina Abhivarddi Sansthe Tavaragera,Children,"Shanthala Shikshna Hagu Grameena Abhivarddi Sansthe, B.B. Nagar, Kushatgi-583277, (Head Office Kushtagi), Tq: Kushtagi Dist: Koppal"
Sharavathi Education Society,Women's Development & Empowerment,"sharavathi education society(R), agrahara village and post, dandigana hally hobli, channaraya patna taluk, hassan dist 573116, i"
Sharp Education Trust,Children,"No.6 1ST FLOOR SRI RAMA TEMPLE STREET VENKTESHPURAM. NAGAWARA MAIN ROAD,Bengaluru"
Shimoga Dist Physically Handicapped Welfare Sangha,Labour & Employment,"Behind Court, Balraj Urs Road, Shimoga"
Shivafoundation,Children,"NO 471,11th main, M.C layout,vijaynagarBengaluru-40"
Shivam Education Rural Devalopment Trust,Nutrition,SHIVARAJ S MATHAPATHI C%PRAKASH GANGANANAVER ISHVER SADAN 2ND CROSS SAI NAGAR LOST STOP UNKAL HUBLI
Shoba Mahila Samaj Byadgi,Children,"SHOBA MAHILA SMAJ BYADGI, SUBAS NAGAR STATION ROAD, BYADGI-581106, TQ BYADGI DIST HAVERI"
Shree Holehuchcheshwar Shikshana And Grameena Abhi,Health & Family Welfare,"Shree Hole Huchcheshwar Shikshana and Grameena Abhivrudhi Samsthe., Jirli Street, At & Po : Guledgudd 587203, Tq: Badami. Dist : Bagalkot, KARNATAKA"
Shree Kanakadas Grameena Abhiruddi Samste,Children,"Shree Kanakadas Grameena Abhiruddi Samste(r), Teggi-587117 Tq : Bilagi Dist : Bagalkot"
Shree Manjunatheshwar Grameenabhivruddhi Samsthe,Health & Family Welfare,"SHREE MANJUNTHESHWAR GRAMEENABHIVRUDDHI SAMSTHE , MUNDEWADI SIR BUILDING , BAGALKOT ROAD , AT POST - HUNGUND, DIST - BAGALKOT, PIN CODE - 587118"
Shree Ramana Maharishi Academy For The Blind,Children,"Shree Ramana Maharishi Academy for the Blind, C.A. 1 - B, 3rd Cross, 3rd phase, J.P.Nagar,Bengaluru-560078"
Shree Ramgrameen Abhirvuddi Sangh,Health & Family Welfare,"shriram grameen abhirvuddi sangh , A/p Jivapur ,Tal /Savadatti ,Dt/ Belgaum"
Shree Sadashiv Institute For Training Research N Leadership Development,Health & Family Welfare,"Shree sadashiv institute For Training research and Leadership Development , Post: Shirguppi Talk: Athani Dist: Belgaum"
Shree Sangameshwar Grameen Samsthe,Women's Development & Empowerment,"SHREE SANGAMESHWAR GRAMEEN SAMSTHE, Ingalagi House, Halapeth, BAGALKOT-587101"
Shree Shreedhar Swamy Vidya Vardhak Sangh Bijapur,Health & Family Welfare,Dr. S Radha Krishnan Nagar B.Bagewadi Road Near Ibrahimpur Bijapur - 586 109
Shree Shridhar Swamy Vidya Vardhak Sangh R Bijapur,Children,"SHREE SHRIDHAR SWAMY VIDYA VARDHAK SANGH R BIJAPUR , , DR S RADHAKRISHNAN NAGAR NEAR IBRAHIMPUR B BAGEWADI ROAD BIJAPUR-586109"
Shree Varalaxmi Mahila Haagu Grameen Abhivrudhi Sangha,Women's Development & Empowerment,"SHREE VARALAXMI MAHILA HAAGU GRAMEEN ABHIVRUDHI SANGHA, SECTOR No. 57, Navanagar, Yaragall House, Bagalkot-587101"
Shreyas Centre For Humanity Urban And Rural Development,Children,"SHREYAS CENTRE FOR HUMANITY URBAN AND RURAL DEVELOPMENT, HIG 1219, 8th B Cross, 7th B Main, Above V B Bakery, Near RTO office, Yelahanka New Town,Bang"
Shri Basaveshwar Rural Development Society Gokak,Rural Development & Poverty Alleviation,"SHRI BASAVESHWAR RURAL DEVELOPMENT SOCIETY, , NO.2, SHEELA COMPLEX, BASAVESHWAR CIRCLE, GOKAK - 591 307."
Shri Devaraj Urs Dreams Foundation,Health & Family Welfare,"SHRI DEVARAJ URS DREAM FOUNDATION (R) , PRONET COMPUTER CENTERNEAR CHETANA CANTEEN K.C.RANI ROAD, GADAG"
Shrigramadevigramabhivruddi Samste,Rural Development & Poverty Alleviation,"HIREKOPPA-591119, TAL:SAUNDATTI, DIST:BELGAUM , KARNATAKA STATE"
Shri J G Co Operative Hospital And Research Institute Ltd,Health & Family Welfare,Dr. Gangadhar Nagar Distict Belgaum Karnataka
Shri Lokamanya Balagangadhar Tilak Ngo Athani,Children,"Laxminarayan nagar, Gasti plot, Athani"
Shri Lokamanya Balagangadhar Tilak Ngo Athani,Children,"Laxminarayan nagar, Gasti plot, Athani"
Shri Lookmanya Bala Gangadhar Tilak Ngo Athani,Rural Development & Poverty Alleviation,"laxmi narayan nagar, gasti plot, Athani-591304"
Shri Mallikarjun Babagouda Patil Welfare Society,Children,"SHRI MALLIKARJUN BABAGOUDA PATIL WELFARE SOCIETY, Shindolli Belgaum"
Shri Manik Prabhu Shikshan Samiti,Children,"Shri Manik Prabhu Shikshan Samiti, Maniknagar, Bidar District, KARNATAKA - 585353"
Shri Manjunath Devastan Trust Committe Gadag Betageri,Children,"Shree Manjunatha Devastan Trust committee , P B Road Betageri Gadag pin cod no 582102, Dist GADAG state KARNATAKA"
Shri Manjunath Devasthan Trust Committe,Children,"Shri Manjunath Devastan Trust , President Shri Shivanna J Mulagund Kanavi plot betageri Gadag Dt: Gadag pin cod no 582102 State: karanatak"
Shri Manjunath Devstan Trust Committee,Health & Family Welfare,"Shri Manjunath Devstan Trust Committee, P B Road, Betageri Post : Betgeri, DI/Tq : Gadag Pincode No : 582102"
Shri Manjunath Women Self Helf Group Betageri Gadag,Women's Development & Empowerment,"Shri Manjunatha Women Shelf Helf Group, C/o Nagarathna S Mulagund, Kanvi plot Betageri Gadag 582102, Dt :GADAG State : KARANATAKA"
Shri Nimishambhadevi Cultural Yuvaka Sangha,Children,"Shri Nimishambhadevi Cultural Yuvaka Sangha , Vanamalaiah Building, Shagale577002"
Shri Sai Education And Rural Development Society Chittawadi,Vocational Training,AMRUTHRAO SAIBANNA PRESIDENT SRI SAI EDUCATION AND RURAL DEVELOPMENT SOCIETY CHITTAWADI TQ BIDAR DIST BIDAR585403
Shri Satya Narayana Yuvaka Swa Sahaya Sangh,Rural Development & Poverty Alleviation,SHRI SATYA NARAYANA YUVAKA SWA SAHAYA SANGH AT Ganajalkhed Tq Gulbarga-585104
Shri Shiradi Saibaba Shikshana Hagu Kaigarika Seva Samsthe Mudhol,Micro Small & Medium Enterprises,"Shri Shiradi Saibaba Shikshana hagu Kaigarika Seva Samsthe, W No.5, Near State Bank Of Hyderabad"
Shri Shivsagar Rural Development Foundation,Children,"SHIVSAGAR RURAL DEVELOPMENT FOUNDATION, Sugar Factory Premise, UDAPUDI village, Ramadurga Taluka.Belgaum District, Karnataka"
Shri Swami Vivekananda Vividhoddeshagala Mattu Grameenabhivrudhi Yuva Sangh,Rural Development & Poverty Alleviation,"Shri Swami Vivekananda Vividhoddeshagala Mattu Grameenabhivrudhi Yuva Sangh, No 4616 Badakal Galli, Belgaum-590001"
Shrusti Computer Shikshana Samshte,Vocational Training,"RAVI PATIL REVOOR, PLOT NUMBER 36, SRINGAR, JEWARGI ROAD, GULBARGA-585102"
Siddhartha Grameena Abhivridhi Samsthe,Dalit Upliftment,"2143 ch 15/1 first cross, Dr. Ambedkar road, chamaraja mohalla,"
Sidharth Integrated Rural And Urban Development Society,Rural Development & Poverty Alleviation,"SIDHARTH INTEGRATED RURAL AND URBAN DEVELOPMENT SOCIETY , H.NO.135-B, OPPOSITE DARGA,GUBBI COLONY, SEDAM ROAD GULBARGA-585105"
Siri Institute For Rural Development,Women's Development & Empowerment,No 259 Shiddaratha Ext Chiranahalli Road Yattagadahalli Mandya-571401
Sir M Vishweshwaraiha Educational And Charitable Trust,Children,"H.No.4-10-50, Ward No.14, Mangalawar Pet, Jawarigalli, Raichur-584101, Karnataka"
Sisters Of Charity Dharwad Province,Children,"SHANTI SADAN, 14337 WARD 13, BLOCK NO.K.A19/2429, NIRMAL NAGAR, 12TH CROSS ROAD,DHARWAD â€“ 580 003"
Slant Erudition,Children,"Plot no 122, chinde layout, swastik nagar"
Smt Indiraji Memorial Rural Development Trust,Children,"Smt. Indiraji Memorial Rural Development Trust, SC &ST Maqnagement,Anakanur,Chikkaballapur Taluk, Kolar District 562101"
Sneha Bal Bhavan,Children,"SNEHA BAL BHAVAN, Opp-R.M.C.YARD, KRISHNAGAR, SIRA TALUK, TUMKUR DIST, KARNATAKA - 572137"
Sneha Charitable Trust,Children,"Snehadaan , Ambedkar Nagar, Sarjapura road, , Carmelaram PO ,Bengaluru - 35 , Karnataka"
Snehadhara Foundation,Children,S-14 MEENAKSHI RESIDENCY AREKERE BANNERGHATTA ROADBengaluru 560076
Sneha Jeevana Foundation,Women's Development & Empowerment,"Sneha Jeevana Foundation, 2nd Cross, Gatti Channabasappa Layout,Gubbi- 572 216,"
Sneha Organization For Women And Child,Women's Development & Empowerment,"Sneha Organization for Women and Child , Jyothinagar, Sira Town and Taluk, Tumkur District, Karnataka - 572 137."
Sneha Sinchana Trust,Rural Development & Poverty Alleviation,"Sneha Sinchana Trust (regd), No 41, 1st main road,Kamalanagar .Bengaluru 560079"
Sneha Trust,Children,"SNEHA TRUST, Moorandahalli village, Arahalli post, Kolar taluk& District, Karnataka-563101"
Social Action For Rural Poor,Children,"SOCIAL ACTION FOR RURAL POOR, SIDDESHWANADURGA V &P, PARASHURAMANAPURA HOBLI, CHALLAKERE TALUK, CHITRADURGA DISTRICT - 577538"
Social And Rural Development Association,Rural Development & Poverty Alleviation,"SRDA , SARWSPATHIPURAM,MANCHENAHALLI, GOWQRIBIDANUR TALUK.PIN CODE 561211"
Social Awareness And Rural Development Society,Rural Development & Poverty Alleviation,"SOCIAL AWARENESS AND RURAL DEVELOPMENT SOCIETY (SARDS), SARDS Society, NO. 6/1, GURUKUL NIVAS, NEW GHATGE LAYOUT, BEHIND BUS STAND, GULBARGA, KARNATAK"
Social Health And Educational Development Society,Health & Family Welfare,"Dr Channappa Hosptial, Gangammagudi Road, Bagepalli -561207, Chikkaballapurrict, Karnataka State."
Social Parivartana Society Marihal,Health & Family Welfare,"At:PO Marihal 590016, Tal and Dist Belgaum"
Social Service Guild,Children,"The Director, Social Service Guild, Kristu Jyoti College, Bosco Nagar, K.R. Puram,Bengaluru - 560 036"
Society For Action In Rural Development Technology,Children,"KHB colony,lig 124,bidar 585401,karnataka"
Society For Agriculture And Rural Development,Health & Family Welfare,Society for Agriculture and Rural Development H NO 2188 1 5th main 5th cross MCC A Block Davanagere 577004
Society For Peoples Intigrated Development,Rural Development & Poverty Alleviation,"Soceity for Peoples Intigrated Development, Haruvanahally. Kadurhally Post, Kadur Taluk Chikmagalur District, Karnataka State 577548"
Society Of Sisters Of The Holy Cross,Children,"Holy Cross Provincialate, Medico Social Centre, Maruthi Nagar 1st Cross, Madivala,Bengaluru 560 068, Karnataka"
Society Of Sisters Of The Holy Cross,Children,"Society of Sisters of the Holy cross, Medico Social Centre, Madivala New Extension ,Bengaluru 560 068"
Socioeconomic Development And Research International,Rural Development & Poverty Alleviation,"No.41, 1A cross, 6G main, Gauravanagar, JP nagar 7 phase,Bengaluru -560078"
Softech Educational And Social Welfare Trust,Women's Development & Empowerment,"Softech Educational & Social Welfare Trust, WCPM Employee Union Bldg., Dandeli"
Soniyaji Mahila Samajika Shikshana And Grameen Abhivruddi Sangh,Children,"soniyaji mahila samajika shikshana and grameen abhivruddi sangh. hunnur , Tq: jamkhandi, Dist: bagalkot"
Soniyamahilamandali,Children,"h no 1-7-82, near laxamma temple behind st marys convent school raichur."
Soujanya Rural And Urban Development Society,Women's Development & Empowerment,"Plot No :- 37/ 19th Ward, , Royal Colony, Beside Gollara Narasappa Colony, 6th Cross,S.N.Pet, Bellary -583103"
Soukhya Sanjeevini Samsthe,Children,"Soukhya Sanjeevini Samsthe(R) C/o Myrada, B.K Sathya Prakashgupta house Door no 117/1 17th ward K T road Behind Eshwar temple Fort Chikkaballapur-56210"
Sourabha Janapada Kala Vedike,Children,"Sourabha Janapada Kala Vedike, P D Nadager Building, Near Banashankari Kalyan Mantap, Banashankari Nagar, Ranebennur 581115"
Sourabha Janapadha Kala Vedike Reg,Children,"Sourabha Janapada Kala Vedike R, C/o P D Nadager Near Banashankari Kalyan Mantap Banashankari Nagar, RANEBENNUR 581115, Dist - Haveri, State - Karnata"
Spandana Social Welfare Trust,Health & Family Welfare,"No.722/2, Manju Nivasa, Trishul Talkies Road, K.B.Extn., Davanagere-577004"
Spandana Urban And Rural Development Society,Rural Development & Poverty Alleviation,"Spandana Urban and Rural Development Society, Mallegowda complex, Near bus stand, Lingadalli post, Tarikere (Tq), Chikamagalur (Dist)-577129"
Spandhana,Children,"Kalikambha Temple Street, Behind Police station, Fort, Channapattana, Ramanagara District, Karnataka. PIN - 571501"
Sparshatrust,Children,"SPARSHA TRUST, NO.6 GROUND FLOOR, 6TH CROSS, , SBM COLONY, BRINDAVAN NAGAR, , MATHIKERE,Bengaluru 560054"
Spoorthy,Dalit Upliftment,"SPOORTHY (R) (Organisation for Education and Social Development), Honnali"
Spoorthy Community And Rural Development Society,Children,"Spoorthy Community and Rural Development Society (SCARDS), C/o Yallappa Miskin house, Rajaji Road, Hospet Chowk,Betageri Gadag"
Spoorthy Organization For Education And Social Development,Children,NALLUR CHANNAGIRI TALUKA Davanagere DISTRICT KARNATAKA INDIA
Spoorti Mahila Mattu Grameenabhivruddi Samste R Harakabhavi,Rural Development & Poverty Alleviation,"SPOORTI MAHILA MATTU GRAMEENABHIVRUDDI SAMSTHE R HARAKABHAVI., Door No 106 Ward No 06, Near Banashankari Temple, Kottur-583134 Bellary District, Cell"
Spurthi Society For Rural Development,Children,"Spurthi Society for Rural Development, H. No. 10-2-25, Madhu Nivas, Pakalwad, Bidar"
Sree Bapuji Shikshana Samste,Children,"Shree bapuji shikshana samste, near basava circle, mahaveer road, sndhanur-584128, dist-raichur"
Sreenidi Vidhya Mandira,Children,"SREENIDI VIDHYAMANDIRA , PATELARA BEEDHI, K K PETE, SIDLAGHATTA CITY 562105"
Sree Ranganayaki Stree Samaja,Children,"Sree Ranganayaki Stree Samaja, Anche Tippaiah street, Srirangapanta , Mandya dist, Karnataka-571438"
Sri Akkamahadevi Samaja,Micro Small & Medium Enterprises,"Sri Akkamahadevi Samaja, Akkamahadevi Road, P.J.Extension"
Sri Amba Bhavani Mahila Mandal,Children,"Sri Amba Bhavani Mahila Mandal, Gurudwara Nanak Jhira, Bidar-585401, Karnataka"
Sri Anjanadri Health Education And Rural Development Trust,Children,"SRI ANJANADRI HEALTH EDUCATION AND RURAL DEVELOPMENT TRUST, C/o Niranjan Das, Near Gurubhavan Road, 3rd cross, K R Extension, Madhugiri-572 132, Tumku"
Sri Balasundaram Memorial Trust,Health & Family Welfare,"Sri Balasundaram Memorial Trust, C/O.Dr. J.B.Srinath, 197,Parasaiyana hundi, Manandavady rd, Srirampura Po, mysore - 570008"
Sri Banashankari Diamond Foundation,Rural Development & Poverty Alleviation,"1st Floor, S R Ullas Complex, Near Govt First Grade College, Settikere Road, Chikkanayakanahalli-572214"
Sri Ekanatheswari Vidhya Samsthe,Health & Family Welfare,"SECRETARY, SRI EKANATHESWARI VIDHYA SAMSTHE , Branch office T KALLAHALLI KUDLIGI TA, BELLARY DISTRICT, POOJARAHALLY POST, PINCODE 583218, Phone 984427"
Sri Guru Education And Welfare Society,Health & Family Welfare,"Vijayanagar Extension ,Kinnal Road, Bhagyanagar Cross, Koppal-583231."
Sri Guru Education And Welfare Socity,Health & Family Welfare,"SRI GURU EDUCATION AND WELFARE SOCIETY VIJAYANAGAR EXT,KINNAL ROAD BHAGYANAGAR CROSS KOPPAL - 583231"
Sri Guru Swayam Seva Samithi,Women's Development & Empowerment,"Sri guru swayam seva samithi., no-63/1,j.s.nagar, Nandini layout,Bengaluru-560096, Karnataka,INDIA."
Sri Harini Mahila Samaja,Health & Family Welfare,"Sri Harini Mahila Samaja, Hunasinakere Layout, Behind Santhepete school, Hassan-573201."
Sri Keshava Trust,Health & Family Welfare,"c/o Vittala International Institute of Ophthalmology , Site 1,2nd main 2nd cross hoskerehalli 7th block Banashankari III stageBengaluru 560085"
Sri Kottur Basaveshwara Mahila Mandali,Children,"D No 390, Near Society Anekonda Davanagere Dist Davanagere"
Sri Krishna Association,Children,"S R Neelamma, W/O V M Thippanna, Venkatapura village & post, via.melur, Shidlaghatta taluk, Chikaballapur District, Pin code 562102"
Sri Lakshmi Narasimhaswamy Education And Rural Development Society,Dalit Upliftment,"Sri Lakshmi Narasimha Swamy Educational and Rural Development Society, opp Srinivasa Nursing home, SS Circle, BH Road, Tumkur-572102"
Sri Laxmi Tailoring And Embriodery Stiching Seving Centre,Children,"JAWAHARI GALLI , MANGALWARPET, RAICHUR"
Sri M K Pawar Memorial Society,Children,"SRI M K PAWAR MEMORIAL SOCIETY(R), NEAR MANVI COMPANY, HOSANAGAR, RANEBENNUR - 58 115"
Sri Nandi Grameena Matthu Nagar Abhivruddhi Vividhoddeshagala Seva Samsthe R,Health & Family Welfare,2ND FLOOR KIRESUR BUILDINGÂ BEHIND HEAD POST OFFICE GADAG-582101
Sri Radhakrishnan Grameena Abhivruddi Samsthe Mattu Kalyan Samsthe,Health & Family Welfare,"SRI RADHAKRISHNAN GRAMEENA ABHIVRUDDI SAMSTHE MATTU KALYAN SAMSTHE, At post: Chikkamyageri - 583236, Tq: Yelburga Dist: Koppal"
Sri Ranga Urban Rural Development And Education Society,Vocational Training,"Sri Ranga Urban Rural Development and Education Society, No 1342/1836, Kestur Srinivasachar Compound, Agrahara, Tumkur - 572101"
Sri Renuka Matha Mahila Mandali,Children,"Sri Renuka Matha Mahila Mandali (R), Shiddeshwar Nagar, Ranebennur - 581115"
Sri Renuka Rural Development Society,Women's Development & Empowerment,"Near AYYIAHPPA TEMPLE, BANASHANKARI NAGARA, RANEBENNUR, HAVERI DIST, KARNATAKA - 581115"
Sri Sai Jana Seva Trust,Vocational Training,SRI SAI JANA SEVA TRUST O.P.O ROAD CHIKKABALLAPUR TOWN AND DISTRICT BRANCH OFFICE MELUR SIDLAGHATTA TALUK ChikkaballapurRICT KARNATAKA 562101
Sri Sai Rural And Urban Development Organization Reg,Women's Development & Empowerment,"6TH CROSS, PRASHANTH NAGAR, 4TH CROSS JOGIMATTI ROAD, CHITRADURGA-577501"
Sri Saraswathi Education And Rural Development Society,Children,"56, 2nd main, behind idgah maidan, vivekanandanagar, hoskote town,Bengaluru rural dist."
Sri Saraswathi Mahila Mandali,Vocational Training,"Millath Nagara, Kolar"
Sri Sarswathi Mahila Samaja,Micro Finance (SHGs),"SRI SARSWATHI MAHILA SAMAJA, G.MADDEPALLI VILLAGE, THIMMAMPALLI POST"
Sri Satyanarayan Yuvak Swa Sahaya Sangh Ganajalkhed,Rural Development & Poverty Alleviation,R/O Ganajalkhed TQ & Dist-Gulbarga-585104
Sri Shanakra Cancer Foundation,Health & Family Welfare,"Sri Shankara Cancer Foundation, 1786 Sriniketana 34th cross 14th main Banashankari II Stage"
